Age,Education_num,Race,Sex,Hours_per_week,>50k,Class_ind,Occupation_ind
23,9,White,0,50,0,1,1
34,13,Black,0,40,0,1,1
22,9,White,1,45,0,1,1
33,13,White,0,40,1,1,1
39,13,White,0,50,1,1,1
47,10,Black,1,37,0,1,1
79,4,White,0,40,0,0,0
26,9,Black,1,55,0,1,1
31,10,White,1,40,0,1,1
44,10,White,0,45,0,1,1
42,15,White,1,50,1,1,1
19,9,White,1,40,0,1,1
27,9,White,0,40,1,1,1
51,10,White,0,40,1,1,1
28,13,White,0,50,0,1,1
57,13,White,0,45,0,1,1
45,13,White,1,40,0,1,1
50,11,White,0,40,1,1,1
34,13,White,0,54,0,1,1
45,4,Black,0,40,0,1,1
73,9,White,0,20,0,1,1
34,13,White,1,50,1,1,1
31,10,White,0,55,1,1,1
19,7,White,0,12,0,1,1
25,10,White,1,50,0,1,1
38,11,White,1,40,0,1,1
39,13,White,0,40,0,1,1
23,13,Black,1,32,0,1,1
49,9,White,0,40,0,1,1
33,9,White,0,32,0,1,1
21,3,White,0,38,0,1,1
31,11,White,0,40,0,1,1
23,13,White,1,45,0,1,1
34,13,Asian-Pac-Islander,0,40,0,1,1
25,9,Asian-Pac-Islander,1,40,0,1,1
39,9,White,0,40,0,1,1
52,9,White,0,40,1,1,1
63,5,White,0,40,1,1,1
41,10,White,0,40,0,1,1
46,13,White,0,38,1,1,1
53,9,White,0,40,0,1,1
25,5,White,1,40,0,0,0
77,10,White,0,35,0,0,0
18,8,White,0,40,0,1,1
38,15,White,0,50,0,1,1
55,14,Asian-Pac-Islander,1,50,0,1,1
34,9,White,0,40,1,1,1
80,9,White,0,30,0,1,1
34,11,White,1,60,0,1,1
52,10,White,0,40,0,1,1
42,9,Black,1,28,0,1,1
26,10,White,1,40,0,1,1
31,9,White,0,40,0,1,1
25,9,White,1,35,0,1,1
55,9,White,0,60,0,1,1
19,10,White,1,12,0,1,1
62,10,White,0,32,0,1,1
22,10,White,1,20,0,1,1
39,9,White,1,50,0,0,0
35,9,White,0,40,0,1,1
28,9,White,1,40,0,1,1
47,9,White,0,70,1,1,1
44,9,White,0,40,0,1,1
21,10,White,0,15,0,1,1
35,11,White,0,50,0,1,1
24,13,White,0,40,1,1,1
42,13,White,0,40,0,1,1
28,13,White,0,50,0,1,1
21,10,White,0,35,0,1,1
62,10,Black,0,40,0,1,1
39,9,Black,1,40,0,1,1
30,9,White,0,40,0,1,1
72,15,White,0,20,0,1,1
50,10,White,1,50,0,1,1
28,14,White,0,40,0,1,1
29,10,White,1,40,0,1,1
26,13,White,1,40,0,1,1
27,14,White,1,40,0,1,1
29,10,White,0,40,1,1,1
61,9,White,0,40,0,0,0
29,6,White,0,25,0,1,1
21,10,White,1,30,0,0,0
31,7,White,1,20,0,1,1
25,9,White,0,75,0,1,1
58,6,White,0,40,1,1,1
64,10,White,1,40,1,1,1
46,14,White,0,38,0,1,1
53,9,White,0,35,1,0,0
19,9,Amer-Indian-Eskimo,1,35,0,1,1
42,9,Black,0,52,0,1,1
18,7,White,0,24,0,1,1
58,13,White,0,50,1,1,1
20,10,Black,0,60,0,1,1
35,9,White,0,40,1,1,1
32,9,White,0,38,1,1,1
23,9,White,1,25,0,1,1
31,10,White,1,40,0,1,1
33,13,Black,0,55,0,1,1
41,10,White,1,48,0,1,1
22,9,Black,0,40,0,1,1
46,10,White,0,40,1,1,1
61,10,Black,0,40,0,1,1
30,9,Black,0,40,0,1,1
42,9,White,0,55,1,1,1
63,6,White,0,40,0,1,1
26,10,White,0,40,0,1,1
42,6,White,1,40,0,1,1
23,10,White,0,40,0,1,1
25,9,White,0,40,0,1,1
30,5,White,0,32,1,1,1
23,9,White,0,40,0,1,1
34,11,White,0,60,1,1,1
30,9,White,0,48,0,1,1
39,10,White,0,40,1,1,1
30,7,White,0,38,0,1,1
38,10,White,1,38,0,1,1
26,9,White,1,40,0,1,1
20,10,White,0,16,0,1,1
37,13,Black,0,40,0,1,1
33,9,White,1,40,0,1,1
24,13,White,0,40,0,1,1
42,13,White,0,60,1,1,1
51,9,Asian-Pac-Islander,0,84,0,1,1
56,12,White,0,45,1,1,1
22,10,White,0,40,0,1,1
52,10,White,0,60,0,1,1
44,13,White,1,45,1,1,1
34,9,White,1,35,0,1,1
51,10,White,0,42,1,1,1
20,10,White,0,40,0,0,0
19,10,White,1,25,0,1,1
37,13,White,0,40,1,1,1
68,9,Black,0,40,1,1,1
22,10,White,0,40,0,1,1
56,13,White,0,40,0,1,1
37,9,White,0,40,0,1,1
52,2,White,0,40,0,1,1
26,9,White,0,40,0,1,1
33,14,White,0,50,0,1,1
45,14,White,1,42,0,1,1
18,7,White,0,15,0,1,1
43,10,White,0,60,1,1,1
64,16,White,0,50,1,1,1
18,9,White,0,20,0,1,1
20,10,White,0,45,0,0,0
57,9,White,0,40,1,1,1
41,9,White,1,42,0,1,1
34,14,White,0,50,1,1,1
19,9,White,1,40,0,1,1
44,5,White,1,55,0,1,1
56,6,White,1,40,0,1,1
36,9,White,0,80,0,1,1
48,13,White,1,48,0,1,1
29,9,White,0,40,1,1,1
33,13,White,0,40,0,1,1
31,3,White,0,40,0,1,1
39,14,White,0,45,1,1,1
66,9,White,0,40,1,1,1
27,13,White,1,50,1,1,1
39,9,Black,1,40,1,1,1
59,4,White,0,50,1,1,1
26,9,White,1,40,0,1,1
31,11,White,0,40,0,1,1
45,9,White,1,40,0,0,0
23,9,White,0,30,0,1,1
36,9,White,1,40,0,1,1
34,10,White,1,12,1,1,1
32,9,White,0,84,1,1,1
37,13,Black,0,50,1,1,1
33,13,White,0,45,0,1,1
50,15,White,0,80,1,1,1
32,12,Black,0,40,0,1,1
35,13,Black,1,40,0,1,1
37,7,White,0,40,0,1,1
44,10,White,0,60,0,1,1
57,10,White,0,25,0,1,1
29,10,White,1,40,0,1,1
55,9,White,0,50,1,1,1
43,15,White,0,25,1,1,1
43,10,White,0,70,0,1,1
45,10,White,0,60,1,1,1
33,14,White,1,8,0,1,1
26,6,White,1,40,0,1,1
23,10,White,0,68,0,1,1
41,4,White,0,40,0,1,1
24,9,White,0,40,0,1,1
47,13,White,0,44,0,1,1
34,9,White,0,45,0,1,1
40,9,White,0,40,1,1,1
28,13,Asian-Pac-Islander,1,40,0,1,1
24,9,Asian-Pac-Islander,1,40,0,1,1
73,10,White,0,10,0,0,0
23,9,White,0,15,0,1,1
43,9,Black,0,40,1,1,1
26,13,White,1,40,0,1,1
58,16,White,1,35,1,1,1
52,9,Black,1,35,0,1,1
29,7,White,0,99,1,1,1
47,7,White,0,35,0,1,1
49,9,Black,1,37,0,1,1
40,7,White,1,40,0,1,1
62,9,White,1,40,0,1,1
49,9,White,0,55,1,1,1
50,13,White,1,50,1,1,1
31,9,Black,0,40,0,1,1
48,14,White,1,50,0,1,1
24,9,White,1,40,0,1,1
41,9,White,1,40,0,0,0
37,9,Asian-Pac-Islander,0,60,0,1,1
45,13,Asian-Pac-Islander,0,45,1,1,1
63,9,White,0,16,0,0,0
36,14,Asian-Pac-Islander,0,45,0,1,1
45,13,White,0,40,0,1,1
41,13,White,1,40,0,1,1
26,12,White,1,20,0,1,1
17,7,White,1,25,0,1,1
27,9,White,0,36,0,1,1
43,9,White,0,65,0,1,1
35,9,White,0,55,0,1,1
38,13,White,1,40,0,1,1
26,9,White,0,40,0,1,1
28,10,White,1,40,0,1,1
38,13,White,1,24,1,1,1
36,7,White,1,40,0,1,1
33,9,White,1,40,1,1,1
19,9,White,0,70,0,1,1
22,12,White,0,25,0,0,0
42,6,White,0,40,0,1,1
50,6,White,0,40,1,1,1
30,9,White,0,30,0,1,1
37,10,Asian-Pac-Islander,0,40,0,1,1
54,15,White,0,40,1,1,1
52,13,White,0,40,0,1,1
65,2,Other,0,40,0,1,1
33,9,White,1,40,0,1,1
25,10,White,0,40,0,1,1
24,13,White,0,45,0,1,1
26,11,Black,1,40,0,1,1
39,9,White,0,40,1,1,1
59,9,White,1,40,0,1,1
29,10,White,1,40,0,1,1
47,7,White,1,45,0,1,1
23,10,White,1,35,0,0,0
64,9,White,0,50,0,1,1
21,9,Other,0,20,0,1,1
32,10,Black,1,40,1,1,1
26,9,Black,1,37,0,1,1
19,10,Black,1,20,0,0,0
62,14,White,0,40,0,1,1
32,13,White,0,55,1,1,1
75,6,White,1,5,0,0,0
45,9,White,0,60,0,1,1
31,13,White,0,50,1,1,1
32,9,White,0,40,0,1,1
24,13,White,0,40,0,1,1
25,13,White,1,40,0,1,1
41,9,White,0,60,0,1,1
18,10,White,1,20,0,1,1
44,16,White,0,55,1,1,1
40,10,White,0,50,0,1,1
27,13,White,0,40,0,1,1
23,13,White,0,40,0,1,1
21,10,Other,0,40,0,1,1
37,9,White,0,40,0,1,1
65,9,White,0,48,0,1,1
43,14,White,0,40,1,1,1
45,9,White,0,44,0,1,1
24,13,White,1,40,0,1,1
24,10,White,0,42,0,1,1
19,10,White,0,35,0,1,1
37,13,White,0,65,1,1,1
24,9,White,1,35,0,1,1
34,10,White,0,40,0,1,1
50,9,White,1,39,0,1,1
36,9,White,0,40,0,1,1
39,13,White,0,60,0,1,1
44,4,White,0,38,0,1,1
45,9,White,0,40,0,1,1
32,7,White,0,40,0,1,1
47,14,Black,0,40,1,1,1
50,9,White,0,40,0,1,1
32,11,White,0,40,0,1,1
19,9,White,0,40,0,1,1
19,10,White,1,20,0,0,0
28,14,White,0,10,0,1,1
28,9,White,0,50,0,1,1
39,14,White,0,40,1,1,1
21,10,White,0,40,0,1,1
73,10,White,1,75,0,1,1
39,4,White,0,40,0,1,1
25,10,White,0,40,0,1,1
31,10,White,1,20,0,1,1
51,10,White,1,32,0,1,1
39,13,White,1,28,0,1,1
31,13,White,0,40,0,1,1
21,10,Black,0,17,0,1,1
46,13,White,0,50,1,1,1
73,9,White,1,35,0,1,1
41,9,White,0,40,0,1,1
20,9,White,0,40,0,1,1
27,12,White,0,30,0,1,1
24,13,White,0,35,0,1,1
20,10,White,0,40,0,1,1
39,11,White,0,40,0,1,1
27,13,White,0,28,0,1,1
33,7,White,0,60,0,1,1
33,9,Amer-Indian-Eskimo,0,40,0,1,1
36,5,Black,0,40,0,1,1
55,10,White,0,36,0,1,1
19,10,White,0,40,0,1,1
35,9,White,0,60,0,1,1
34,3,Asian-Pac-Islander,0,40,0,1,1
62,15,White,1,35,0,1,1
33,10,White,0,40,1,1,1
39,5,White,0,55,0,1,1
36,10,White,0,40,0,1,1
41,13,White,1,33,0,1,1
39,9,White,0,60,0,1,1
38,9,White,1,10,1,0,0
18,9,White,1,10,0,1,1
61,10,White,0,45,1,1,1
20,11,White,1,36,0,1,1
35,9,White,0,65,1,1,1
27,9,White,0,40,0,1,1
66,6,White,1,38,0,1,1
21,9,Black,0,40,0,1,1
20,10,White,1,18,0,1,1
34,10,White,0,40,0,1,1
63,3,White,1,50,0,1,1
20,9,White,0,40,0,0,0
31,9,White,1,40,0,1,1
41,16,White,0,60,0,1,1
64,2,Other,0,45,0,1,1
32,13,White,1,40,0,1,1
30,9,White,0,50,1,1,1
36,13,White,0,72,0,1,1
22,10,White,0,12,0,1,1
53,10,White,0,50,0,1,1
50,9,Amer-Indian-Eskimo,1,40,0,1,1
36,13,White,0,40,0,1,1
41,7,White,0,40,0,1,1
55,13,White,1,35,0,1,1
38,13,White,0,50,1,1,1
28,13,Black,0,50,0,1,1
24,13,White,1,37,0,1,1
60,10,White,1,40,0,1,1
54,6,Black,0,40,0,1,1
27,9,White,0,60,0,1,1
30,14,White,1,30,0,1,1
54,9,White,0,45,0,1,1
44,10,White,0,40,1,1,1
52,9,White,0,60,1,1,1
18,7,White,0,20,0,1,1
55,4,White,0,50,0,1,1
35,13,White,0,50,1,1,1
37,13,White,1,40,1,1,1
22,10,White,1,40,0,1,1
45,13,White,0,45,1,1,1
38,13,White,0,60,0,1,1
48,13,White,0,40,0,1,1
35,11,White,0,40,0,1,1
21,11,White,0,50,0,1,1
37,9,Asian-Pac-Islander,0,60,1,1,1
18,7,White,0,25,0,1,1
26,6,White,0,35,0,1,1
48,13,White,0,50,0,1,1
51,10,Black,0,40,1,1,1
52,10,White,0,40,0,1,1
32,13,White,0,40,1,1,1
39,13,White,0,60,0,1,1
51,13,White,0,40,1,1,1
54,13,White,0,50,0,1,1
21,10,White,1,25,0,1,1
43,9,Black,1,40,0,1,1
32,10,White,1,40,0,1,1
31,14,White,0,35,1,1,1
73,9,White,0,8,0,0,0
26,10,Asian-Pac-Islander,0,60,0,1,1
35,9,White,0,40,0,1,1
73,3,White,0,54,1,1,1
25,13,White,1,40,0,1,1
58,11,White,0,65,0,1,1
32,9,White,1,37,0,1,1
28,13,White,0,40,0,1,1
41,14,White,1,30,0,1,1
53,9,White,0,48,0,1,1
49,9,White,1,35,0,1,1
55,13,White,0,40,1,1,1
29,10,White,1,50,1,1,1
28,11,White,0,80,0,1,1
44,9,White,0,45,0,1,1
41,14,White,0,45,1,1,1
26,11,White,0,45,1,1,1
23,9,White,0,40,1,1,1
37,13,White,1,40,1,1,1
23,13,White,0,50,1,1,1
33,10,Black,1,40,0,1,1
44,9,White,0,40,1,1,1
21,10,White,0,30,0,1,1
36,7,White,0,40,0,1,1
44,13,White,0,40,0,1,1
23,9,Black,1,40,0,1,1
26,9,White,0,40,0,1,1
32,3,White,0,40,0,1,1
31,10,White,0,40,1,1,1
50,9,Black,1,35,0,1,1
18,10,White,1,20,0,1,1
49,13,White,0,50,1,1,1
59,9,White,1,40,0,1,1
38,9,Black,1,28,0,1,1
50,10,White,0,55,0,1,1
51,10,White,0,55,0,1,1
22,10,Asian-Pac-Islander,0,35,0,1,1
54,9,White,1,40,1,1,1
37,9,White,0,40,0,1,1
31,13,White,0,60,0,1,1
67,13,White,0,40,0,1,1
43,7,White,0,40,0,0,0
21,10,White,1,40,0,1,1
30,9,White,1,40,0,1,1
32,10,White,0,50,0,1,1
36,11,Asian-Pac-Islander,0,40,0,1,1
33,13,Black,0,40,0,1,1
37,9,White,0,56,0,1,1
29,15,White,0,48,1,1,1
18,10,White,0,30,0,0,0
26,10,Black,0,40,0,1,1
51,4,White,0,40,0,1,1
39,9,White,0,40,0,1,1
18,9,White,0,30,0,1,1
52,8,White,0,40,0,1,1
31,10,White,0,40,0,1,1
45,13,White,0,53,1,1,1
38,10,White,0,38,0,1,1
21,12,White,1,35,0,1,1
33,9,White,0,40,0,1,1
39,10,White,0,40,0,1,1
31,9,White,0,40,0,1,1
43,13,White,0,50,1,1,1
64,13,White,0,10,0,0,0
33,13,White,0,45,1,1,1
49,9,White,0,60,0,1,1
41,9,White,0,40,0,1,1
55,10,White,0,40,0,1,1
52,10,Black,1,37,0,1,1
42,13,Black,0,40,0,1,1
24,10,White,1,30,0,1,1
42,9,White,0,52,0,1,1
41,13,White,0,40,1,1,1
35,9,White,0,40,0,1,1
71,3,White,0,10,0,0,0
54,14,White,0,42,1,1,1
24,3,White,0,40,0,1,1
59,9,Black,1,40,0,0,0
30,7,Black,1,40,0,0,0
57,13,White,1,40,1,1,1
58,14,White,0,40,1,1,1
32,9,Black,0,40,0,1,1
22,9,White,1,25,0,1,1
20,9,White,1,25,0,1,1
60,13,White,0,40,0,0,0
51,9,Black,1,40,0,1,1
26,9,Black,1,20,0,1,1
33,7,White,0,40,0,1,1
19,6,White,1,40,0,1,1
50,9,White,1,20,1,1,1
32,9,White,0,40,0,1,1
51,13,Black,0,40,1,1,1
18,10,Asian-Pac-Islander,1,20,0,1,1
35,14,White,0,50,1,1,1
22,10,White,0,25,0,0,0
46,9,White,0,55,0,1,1
37,9,White,0,45,0,1,1
45,10,White,1,20,1,1,1
63,5,White,0,32,0,1,1
53,9,Asian-Pac-Islander,0,10,0,1,1
24,9,Black,1,40,0,1,1
65,7,White,0,29,0,0,0
43,12,White,1,32,1,1,1
47,9,White,0,40,0,1,1
41,9,White,1,40,0,1,1
27,9,White,0,40,0,1,1
35,9,Black,0,75,0,1,1
19,10,White,1,24,0,1,1
47,10,White,1,35,0,1,1
25,13,Black,1,40,0,1,1
59,15,White,0,40,1,1,1
28,6,White,1,40,0,1,1
17,6,White,1,20,0,1,1
21,10,Asian-Pac-Islander,0,50,0,1,1
31,9,Other,1,40,0,1,1
49,9,White,1,40,0,1,1
48,14,White,0,50,1,1,1
60,16,White,0,20,0,1,1
33,8,White,0,40,0,1,1
40,9,White,0,40,0,1,1
42,10,White,0,52,0,1,1
34,9,White,0,40,0,1,1
38,11,Black,0,52,0,1,1
58,10,White,0,70,1,1,1
20,10,White,1,40,0,1,1
52,10,White,1,55,0,1,1
22,10,White,0,40,0,1,1
24,13,White,0,35,1,1,1
39,9,White,1,40,0,1,1
41,14,White,0,55,1,1,1
37,10,White,0,30,0,0,0
56,5,White,0,40,0,1,1
21,9,White,1,40,0,1,1
29,9,White,1,25,0,1,1
45,11,White,0,10,0,1,1
44,10,White,0,80,1,1,1
54,14,White,0,45,1,1,1
24,10,White,0,40,0,1,1
40,13,White,0,50,0,1,1
43,13,White,0,60,1,1,1
20,10,White,0,16,0,0,0
41,7,White,1,40,0,1,1
32,11,White,1,40,0,1,1
31,13,White,1,25,0,1,1
26,9,White,0,40,0,1,1
50,13,White,0,40,1,1,1
62,11,White,0,40,0,1,1
24,9,White,0,45,0,1,1
58,13,White,0,65,1,1,1
44,10,White,0,40,1,1,1
44,8,White,0,40,0,1,1
37,10,White,0,50,1,1,1
65,4,White,0,40,0,1,1
33,9,White,0,40,1,1,1
34,9,Asian-Pac-Islander,1,37,0,0,0
56,14,White,0,60,1,1,1
35,14,White,0,48,1,1,1
33,13,White,0,40,0,1,1
35,13,White,0,48,0,1,1
47,10,White,1,60,0,1,1
35,5,Amer-Indian-Eskimo,0,96,0,1,1
56,10,White,1,40,0,1,1
29,14,White,0,40,0,1,1
53,15,Asian-Pac-Islander,0,50,1,1,1
42,11,Black,1,25,0,1,1
20,10,Black,1,40,0,0,0
24,13,White,0,50,0,1,1
33,9,White,0,40,0,1,1
42,6,White,0,45,0,1,1
38,10,White,0,50,1,1,1
32,9,White,0,40,0,1,1
20,4,White,0,20,0,1,1
32,9,White,0,50,0,1,1
28,10,White,0,40,1,1,1
51,9,White,0,55,1,1,1
41,9,White,0,30,0,1,1
37,12,Black,1,50,0,1,1
23,9,White,1,40,0,1,1
40,9,White,0,40,0,1,1
47,6,White,0,40,0,1,1
46,9,White,0,50,0,1,1
24,13,White,0,40,0,1,1
40,9,Black,1,28,0,1,1
30,9,Asian-Pac-Islander,0,60,0,1,1
41,15,Other,1,52,1,1,1
37,13,Black,1,45,1,1,1
49,9,Asian-Pac-Islander,0,40,0,1,1
41,13,Black,1,50,1,1,1
52,11,White,0,35,0,1,1
23,10,White,0,50,0,1,1
34,9,Black,1,40,0,1,1
25,13,White,1,40,1,1,1
44,9,White,0,45,1,1,1
31,9,White,0,33,0,1,1
53,13,White,1,40,0,1,1
62,9,White,0,50,0,1,1
35,13,White,0,55,0,1,1
30,13,White,0,40,0,1,1
48,9,White,1,40,1,1,1
36,13,White,1,40,1,1,1
32,7,White,0,33,0,1,1
22,10,White,1,28,0,1,1
17,7,White,0,40,0,0,0
19,9,White,1,40,0,1,1
26,9,White,1,40,0,1,1
20,10,White,0,40,0,0,0
56,10,White,0,35,1,1,1
45,4,White,1,21,0,1,1
23,10,Asian-Pac-Islander,1,40,0,1,1
31,9,White,0,40,0,1,1
30,7,White,1,8,0,1,1
42,9,White,0,35,0,1,1
27,15,White,0,60,0,1,1
37,13,White,0,50,1,1,1
31,9,White,0,60,0,1,1
33,13,White,1,40,0,1,1
64,1,Asian-Pac-Islander,0,40,0,1,1
32,9,White,1,40,0,1,1
62,9,White,0,40,1,0,0
37,10,White,0,40,0,1,1
25,7,White,0,40,0,1,1
49,9,White,0,40,0,1,1
36,13,White,0,40,1,1,1
67,10,White,0,15,0,1,1
54,9,White,0,40,1,1,1
45,16,White,1,40,1,1,1
30,10,White,0,40,0,1,1
39,9,White,1,40,0,1,1
57,6,Amer-Indian-Eskimo,1,20,0,1,1
57,6,White,0,40,0,1,1
23,9,White,0,40,0,1,1
49,9,White,0,40,0,1,1
46,13,White,0,10,1,1,1
41,13,White,1,43,0,1,1
44,11,White,0,45,0,1,1
25,13,White,1,30,0,1,1
34,13,Black,0,45,1,1,1
24,13,White,0,25,0,1,1
32,13,White,1,45,0,1,1
27,9,White,0,50,1,1,1
67,8,Black,0,40,0,1,1
36,9,White,0,40,0,1,1
40,10,White,0,48,0,1,1
24,9,White,0,40,0,1,1
46,13,White,0,40,1,1,1
44,9,White,1,38,0,1,1
23,10,White,0,40,1,1,1
46,15,White,0,90,0,1,1
31,11,White,0,40,0,1,1
21,10,Black,0,40,0,1,1
61,9,White,0,40,1,1,1
71,9,White,0,15,0,1,1
42,13,White,0,40,1,1,1
27,10,Black,0,5,0,0,0
21,10,White,1,16,0,1,1
21,1,White,0,25,0,1,1
28,13,White,1,60,0,1,1
27,12,Black,1,37,0,1,1
32,10,White,1,25,0,1,1
47,9,White,0,40,0,1,1
22,12,White,0,35,0,1,1
56,9,White,0,40,0,1,1
20,9,White,1,40,0,1,1
30,10,White,1,40,0,1,1
22,10,White,1,25,0,1,1
28,11,White,0,45,1,1,1
50,14,White,0,55,1,1,1
66,9,White,1,10,0,1,1
38,10,White,0,46,0,1,1
62,8,White,0,30,0,1,1
36,14,White,1,40,1,1,1
47,6,White,0,35,0,1,1
25,9,White,0,40,0,1,1
26,10,White,0,40,0,1,1
37,7,White,0,40,0,1,1
70,4,White,0,8,0,1,1
52,7,White,0,40,0,1,1
70,5,White,0,18,0,1,1
19,9,White,0,40,0,1,1
23,7,White,0,3,0,1,1
