,Age,Education_num,Race,Sex,Hours_per_week,>50k,Class_ind,Occupation_ind
341,33,13,0,0,40,0,1,1
342,31,3,0,0,40,0,1,1
343,39,14,0,0,45,1,1,1
344,66,9,0,0,40,1,1,1
345,27,13,0,1,50,1,1,1
346,39,9,1,1,40,1,1,1
347,59,4,0,0,50,1,1,1
348,26,9,0,1,40,0,1,1
349,31,11,0,0,40,0,1,1
350,45,9,0,1,40,0,0,0
351,23,9,0,0,30,0,1,1
352,36,9,0,1,40,0,1,1
353,34,10,0,1,12,1,1,1
354,32,9,0,0,84,1,1,1
355,37,13,1,0,50,1,1,1
356,33,13,0,0,45,0,1,1
357,50,15,0,0,80,1,1,1
358,32,12,1,0,40,0,1,1
359,35,13,1,1,40,0,1,1
360,37,7,0,0,40,0,1,1
361,44,10,0,0,60,0,1,1
362,57,10,0,0,25,0,1,1
363,29,10,0,1,40,0,1,1
364,55,9,0,0,50,1,1,1
365,43,15,0,0,25,1,1,1
366,43,10,0,0,70,0,1,1
367,45,10,0,0,60,1,1,1
368,33,14,0,1,8,0,1,1
369,26,6,0,1,40,0,1,1
370,23,10,0,0,68,0,1,1
371,41,4,0,0,40,0,1,1
372,24,9,0,0,40,0,1,1
373,47,13,0,0,44,0,1,1
374,34,9,0,0,45,0,1,1
375,40,9,0,0,40,1,1,1
376,28,13,3,1,40,0,1,1
377,24,9,3,1,40,0,1,1
378,73,10,0,0,10,0,0,0
379,23,9,0,0,15,0,1,1
380,43,9,1,0,40,1,1,1
381,26,13,0,1,40,0,1,1
382,58,16,0,1,35,1,1,1
383,52,9,1,1,35,0,1,1
384,29,7,0,0,99,1,1,1
385,47,7,0,0,35,0,1,1
386,49,9,1,1,37,0,1,1
387,40,7,0,1,40,0,1,1
388,62,9,0,1,40,0,1,1
389,49,9,0,0,55,1,1,1
390,50,13,0,1,50,1,1,1
391,31,9,1,0,40,0,1,1
392,48,14,0,1,50,0,1,1
393,24,9,0,1,40,0,1,1
394,41,9,0,1,40,0,0,0
395,37,9,3,0,60,0,1,1
396,45,13,3,0,45,1,1,1
397,63,9,0,0,16,0,0,0
398,36,14,3,0,45,0,1,1
399,45,13,0,0,40,0,1,1
400,41,13,0,1,40,0,1,1
401,26,12,0,1,20,0,1,1
402,17,7,0,1,25,0,1,1
403,27,9,0,0,36,0,1,1
404,43,9,0,0,65,0,1,1
405,35,9,0,0,55,0,1,1
406,38,13,0,1,40,0,1,1
407,26,9,0,0,40,0,1,1
408,28,10,0,1,40,0,1,1
409,38,13,0,1,24,1,1,1
410,36,7,0,1,40,0,1,1
411,33,9,0,1,40,1,1,1
412,19,9,0,0,70,0,1,1
413,22,12,0,0,25,0,0,0
414,42,6,0,0,40,0,1,1
415,50,6,0,0,40,1,1,1
416,30,9,0,0,30,0,1,1
417,37,10,3,0,40,0,1,1
418,54,15,0,0,40,1,1,1
419,52,13,0,0,40,0,1,1
420,65,2,4,0,40,0,1,1
421,33,9,0,1,40,0,1,1
422,25,10,0,0,40,0,1,1
423,24,13,0,0,45,0,1,1
424,26,11,1,1,40,0,1,1
425,39,9,0,0,40,1,1,1
426,59,9,0,1,40,0,1,1
427,29,10,0,1,40,0,1,1
428,47,7,0,1,45,0,1,1
429,23,10,0,1,35,0,0,0
430,64,9,0,0,50,0,1,1
431,21,9,4,0,20,0,1,1
432,32,10,1,1,40,1,1,1
433,26,9,1,1,37,0,1,1
434,19,10,1,1,20,0,0,0
435,62,14,0,0,40,0,1,1
436,32,13,0,0,55,1,1,1
437,75,6,0,1,5,0,0,0
438,45,9,0,0,60,0,1,1
439,31,13,0,0,50,1,1,1
440,32,9,0,0,40,0,1,1
441,24,13,0,0,40,0,1,1
442,25,13,0,1,40,0,1,1
443,41,9,0,0,60,0,1,1
444,18,10,0,1,20,0,1,1
445,44,16,0,0,55,1,1,1
446,40,10,0,0,50,0,1,1
447,27,13,0,0,40,0,1,1
448,23,13,0,0,40,0,1,1
449,21,10,4,0,40,0,1,1
450,37,9,0,0,40,0,1,1
451,65,9,0,0,48,0,1,1
452,43,14,0,0,40,1,1,1
453,45,9,0,0,44,0,1,1
454,24,13,0,1,40,0,1,1
455,24,10,0,0,42,0,1,1
456,19,10,0,0,35,0,1,1
457,37,13,0,0,65,1,1,1
458,24,9,0,1,35,0,1,1
459,34,10,0,0,40,0,1,1
460,50,9,0,1,39,0,1,1
461,36,9,0,0,40,0,1,1
462,39,13,0,0,60,0,1,1
463,44,4,0,0,38,0,1,1
464,45,9,0,0,40,0,1,1
465,32,7,0,0,40,0,1,1
466,47,14,1,0,40,1,1,1
467,50,9,0,0,40,0,1,1
468,32,11,0,0,40,0,1,1
469,19,9,0,0,40,0,1,1
470,19,10,0,1,20,0,0,0
471,28,14,0,0,10,0,1,1
472,28,9,0,0,50,0,1,1
473,39,14,0,0,40,1,1,1
474,21,10,0,0,40,0,1,1
475,73,10,0,1,75,0,1,1
476,39,4,0,0,40,0,1,1
477,25,10,0,0,40,0,1,1
478,31,10,0,1,20,0,1,1
479,51,10,0,1,32,0,1,1
480,39,13,0,1,28,0,1,1
481,31,13,0,0,40,0,1,1
482,21,10,1,0,17,0,1,1
483,46,13,0,0,50,1,1,1
484,73,9,0,1,35,0,1,1
485,41,9,0,0,40,0,1,1
486,20,9,0,0,40,0,1,1
487,27,12,0,0,30,0,1,1
488,24,13,0,0,35,0,1,1
489,20,10,0,0,40,0,1,1
490,39,11,0,0,40,0,1,1
491,27,13,0,0,28,0,1,1
492,33,7,0,0,60,0,1,1
493,33,9,2,0,40,0,1,1
494,36,5,1,0,40,0,1,1
495,55,10,0,0,36,0,1,1
496,19,10,0,0,40,0,1,1
497,35,9,0,0,60,0,1,1
498,34,3,3,0,40,0,1,1
499,62,15,0,1,35,0,1,1
500,33,10,0,0,40,1,1,1
501,39,5,0,0,55,0,1,1
502,36,10,0,0,40,0,1,1
503,41,13,0,1,33,0,1,1
504,39,9,0,0,60,0,1,1
505,38,9,0,1,10,1,0,0
506,18,9,0,1,10,0,1,1
507,61,10,0,0,45,1,1,1
508,20,11,0,1,36,0,1,1
509,35,9,0,0,65,1,1,1
510,27,9,0,0,40,0,1,1
511,66,6,0,1,38,0,1,1
512,21,9,1,0,40,0,1,1
513,20,10,0,1,18,0,1,1
514,34,10,0,0,40,0,1,1
515,63,3,0,1,50,0,1,1
516,20,9,0,0,40,0,0,0
517,31,9,0,1,40,0,1,1
518,41,16,0,0,60,0,1,1
519,64,2,4,0,45,0,1,1
520,32,13,0,1,40,0,1,1
521,30,9,0,0,50,1,1,1
522,36,13,0,0,72,0,1,1
523,22,10,0,0,12,0,1,1
524,53,10,0,0,50,0,1,1
525,50,9,2,1,40,0,1,1
526,36,13,0,0,40,0,1,1
527,41,7,0,0,40,0,1,1
528,55,13,0,1,35,0,1,1
529,38,13,0,0,50,1,1,1
530,28,13,1,0,50,0,1,1
531,24,13,0,1,37,0,1,1
532,60,10,0,1,40,0,1,1
533,54,6,1,0,40,0,1,1
534,27,9,0,0,60,0,1,1
535,30,14,0,1,30,0,1,1
536,54,9,0,0,45,0,1,1
537,44,10,0,0,40,1,1,1
538,52,9,0,0,60,1,1,1
539,18,7,0,0,20,0,1,1
540,55,4,0,0,50,0,1,1
541,35,13,0,0,50,1,1,1
542,37,13,0,1,40,1,1,1
543,22,10,0,1,40,0,1,1
544,45,13,0,0,45,1,1,1
545,38,13,0,0,60,0,1,1
546,48,13,0,0,40,0,1,1
547,35,11,0,0,40,0,1,1
548,21,11,0,0,50,0,1,1
549,37,9,3,0,60,1,1,1
550,18,7,0,0,25,0,1,1
551,26,6,0,0,35,0,1,1
552,48,13,0,0,50,0,1,1
553,51,10,1,0,40,1,1,1
554,52,10,0,0,40,0,1,1
555,32,13,0,0,40,1,1,1
556,39,13,0,0,60,0,1,1
557,51,13,0,0,40,1,1,1
558,54,13,0,0,50,0,1,1
559,21,10,0,1,25,0,1,1
560,43,9,1,1,40,0,1,1
561,32,10,0,1,40,0,1,1
562,31,14,0,0,35,1,1,1
563,73,9,0,0,8,0,0,0
564,26,10,3,0,60,0,1,1
565,35,9,0,0,40,0,1,1
566,73,3,0,0,54,1,1,1
567,25,13,0,1,40,0,1,1
568,58,11,0,0,65,0,1,1
569,32,9,0,1,37,0,1,1
570,28,13,0,0,40,0,1,1
571,41,14,0,1,30,0,1,1
572,53,9,0,0,48,0,1,1
573,49,9,0,1,35,0,1,1
574,55,13,0,0,40,1,1,1
575,29,10,0,1,50,1,1,1
576,28,11,0,0,80,0,1,1
577,44,9,0,0,45,0,1,1
578,41,14,0,0,45,1,1,1
579,26,11,0,0,45,1,1,1
580,23,9,0,0,40,1,1,1
581,37,13,0,1,40,1,1,1
582,23,13,0,0,50,1,1,1
583,33,10,1,1,40,0,1,1
584,44,9,0,0,40,1,1,1
585,21,10,0,0,30,0,1,1
586,36,7,0,0,40,0,1,1
587,44,13,0,0,40,0,1,1
588,23,9,1,1,40,0,1,1
589,26,9,0,0,40,0,1,1
590,32,3,0,0,40,0,1,1
591,31,10,0,0,40,1,1,1
592,50,9,1,1,35,0,1,1
593,18,10,0,1,20,0,1,1
594,49,13,0,0,50,1,1,1
595,59,9,0,1,40,0,1,1
596,38,9,1,1,28,0,1,1
597,50,10,0,0,55,0,1,1
598,51,10,0,0,55,0,1,1
599,22,10,3,0,35,0,1,1
600,54,9,0,1,40,1,1,1
601,37,9,0,0,40,0,1,1
602,31,13,0,0,60,0,1,1
603,67,13,0,0,40,0,1,1
604,43,7,0,0,40,0,0,0
605,21,10,0,1,40,0,1,1
606,30,9,0,1,40,0,1,1
607,32,10,0,0,50,0,1,1
608,36,11,3,0,40,0,1,1
609,33,13,1,0,40,0,1,1
610,37,9,0,0,56,0,1,1
611,29,15,0,0,48,1,1,1
612,18,10,0,0,30,0,0,0
613,26,10,1,0,40,0,1,1
614,51,4,0,0,40,0,1,1
615,39,9,0,0,40,0,1,1
616,18,9,0,0,30,0,1,1
617,52,8,0,0,40,0,1,1
618,31,10,0,0,40,0,1,1
619,45,13,0,0,53,1,1,1
620,38,10,0,0,38,0,1,1
621,21,12,0,1,35,0,1,1
622,33,9,0,0,40,0,1,1
623,39,10,0,0,40,0,1,1
624,31,9,0,0,40,0,1,1
625,43,13,0,0,50,1,1,1
626,64,13,0,0,10,0,0,0
627,33,13,0,0,45,1,1,1
628,49,9,0,0,60,0,1,1
629,41,9,0,0,40,0,1,1
630,55,10,0,0,40,0,1,1
631,52,10,1,1,37,0,1,1
632,42,13,1,0,40,0,1,1
633,24,10,0,1,30,0,1,1
634,42,9,0,0,52,0,1,1
635,41,13,0,0,40,1,1,1
636,35,9,0,0,40,0,1,1
637,71,3,0,0,10,0,0,0
638,54,14,0,0,42,1,1,1
639,24,3,0,0,40,0,1,1
640,59,9,1,1,40,0,0,0
641,30,7,1,1,40,0,0,0
642,57,13,0,1,40,1,1,1
643,58,14,0,0,40,1,1,1
644,32,9,1,0,40,0,1,1
645,22,9,0,1,25,0,1,1
646,20,9,0,1,25,0,1,1
647,60,13,0,0,40,0,0,0
648,51,9,1,1,40,0,1,1
649,26,9,1,1,20,0,1,1
650,33,7,0,0,40,0,1,1
651,19,6,0,1,40,0,1,1
652,50,9,0,1,20,1,1,1
653,32,9,0,0,40,0,1,1
654,51,13,1,0,40,1,1,1
655,18,10,3,1,20,0,1,1
656,35,14,0,0,50,1,1,1
657,22,10,0,0,25,0,0,0
658,46,9,0,0,55,0,1,1
659,37,9,0,0,45,0,1,1
660,45,10,0,1,20,1,1,1
661,63,5,0,0,32,0,1,1
662,53,9,3,0,10,0,1,1
663,24,9,1,1,40,0,1,1
664,65,7,0,0,29,0,0,0
665,43,12,0,1,32,1,1,1
666,47,9,0,0,40,0,1,1
667,41,9,0,1,40,0,1,1
668,27,9,0,0,40,0,1,1
669,35,9,1,0,75,0,1,1
670,19,10,0,1,24,0,1,1
671,47,10,0,1,35,0,1,1
672,25,13,1,1,40,0,1,1
673,59,15,0,0,40,1,1,1
674,28,6,0,1,40,0,1,1
675,17,6,0,1,20,0,1,1
676,21,10,3,0,50,0,1,1
677,31,9,4,1,40,0,1,1
678,49,9,0,1,40,0,1,1
679,48,14,0,0,50,1,1,1
680,60,16,0,0,20,0,1,1
681,33,8,0,0,40,0,1,1
682,40,9,0,0,40,0,1,1
683,42,10,0,0,52,0,1,1
684,34,9,0,0,40,0,1,1
685,38,11,1,0,52,0,1,1
686,58,10,0,0,70,1,1,1
687,20,10,0,1,40,0,1,1
688,52,10,0,1,55,0,1,1
689,22,10,0,0,40,0,1,1
690,24,13,0,0,35,1,1,1
691,39,9,0,1,40,0,1,1
692,41,14,0,0,55,1,1,1
693,37,10,0,0,30,0,0,0
694,56,5,0,0,40,0,1,1
695,21,9,0,1,40,0,1,1
696,29,9,0,1,25,0,1,1
697,45,11,0,0,10,0,1,1
698,44,10,0,0,80,1,1,1
699,54,14,0,0,45,1,1,1
700,24,10,0,0,40,0,1,1
701,40,13,0,0,50,0,1,1
702,43,13,0,0,60,1,1,1
703,20,10,0,0,16,0,0,0
704,41,7,0,1,40,0,1,1
705,32,11,0,1,40,0,1,1
706,31,13,0,1,25,0,1,1
707,26,9,0,0,40,0,1,1
708,50,13,0,0,40,1,1,1
709,62,11,0,0,40,0,1,1
710,24,9,0,0,45,0,1,1
711,58,13,0,0,65,1,1,1
712,44,10,0,0,40,1,1,1
713,44,8,0,0,40,0,1,1
714,37,10,0,0,50,1,1,1
715,65,4,0,0,40,0,1,1
716,33,9,0,0,40,1,1,1
717,34,9,3,1,37,0,0,0
718,56,14,0,0,60,1,1,1
719,35,14,0,0,48,1,1,1
720,33,13,0,0,40,0,1,1
721,35,13,0,0,48,0,1,1
722,47,10,0,1,60,0,1,1
723,35,5,2,0,96,0,1,1
724,56,10,0,1,40,0,1,1
725,29,14,0,0,40,0,1,1
726,53,15,3,0,50,1,1,1
727,42,11,1,1,25,0,1,1
728,20,10,1,1,40,0,0,0
729,24,13,0,0,50,0,1,1
730,33,9,0,0,40,0,1,1
731,42,6,0,0,45,0,1,1
732,38,10,0,0,50,1,1,1
733,32,9,0,0,40,0,1,1
734,20,4,0,0,20,0,1,1
735,32,9,0,0,50,0,1,1
736,28,10,0,0,40,1,1,1
737,51,9,0,0,55,1,1,1
738,41,9,0,0,30,0,1,1
739,37,12,1,1,50,0,1,1
740,23,9,0,1,40,0,1,1
741,40,9,0,0,40,0,1,1
742,47,6,0,0,40,0,1,1
743,46,9,0,0,50,0,1,1
744,24,13,0,0,40,0,1,1
745,40,9,1,1,28,0,1,1
746,30,9,3,0,60,0,1,1
747,41,15,4,1,52,1,1,1
748,37,13,1,1,45,1,1,1
749,49,9,3,0,40,0,1,1
750,41,13,1,1,50,1,1,1
751,52,11,0,0,35,0,1,1
752,23,10,0,0,50,0,1,1
753,34,9,1,1,40,0,1,1
754,25,13,0,1,40,1,1,1
755,44,9,0,0,45,1,1,1
756,31,9,0,0,33,0,1,1
757,53,13,0,1,40,0,1,1
758,62,9,0,0,50,0,1,1
759,35,13,0,0,55,0,1,1
760,30,13,0,0,40,0,1,1
761,48,9,0,1,40,1,1,1
762,36,13,0,1,40,1,1,1
763,32,7,0,0,33,0,1,1
764,22,10,0,1,28,0,1,1
765,17,7,0,0,40,0,0,0
766,19,9,0,1,40,0,1,1
767,26,9,0,1,40,0,1,1
768,20,10,0,0,40,0,0,0
769,56,10,0,0,35,1,1,1
770,45,4,0,1,21,0,1,1
771,23,10,3,1,40,0,1,1
772,31,9,0,0,40,0,1,1
